,Main Category,Child Category,GrandChild Category,Prompt,Translate
1442,Materials,Solids,Wood and Paper,Wooden,木制的
1443,Materials,Solids,Wood and Paper,Plywood,胶合板
1444,Materials,Solids,Wood and Paper,Board,董事会
1445,Materials,Solids,Wood and Paper,Lumber,木材
1446,Materials,Solids,Wood and Paper,Planks,塑木板
1447,Materials,Solids,Wood and Paper,Wooden Planks,木板
1448,Materials,Solids,Wood and Paper,Cork,软木
1449,Materials,Solids,Wood and Paper,Sawdust,锯末
1450,Materials,Solids,Wood and Paper,Wood Veneer,木饰面
1451,Materials,Solids,Wood and Paper,Spalting,剥落
1452,Materials,Solids,Wood and Paper,Petrified Wood,石化木
1453,Materials,Solids,Wood and Paper,Wooden Fence,木栅栏
1454,Materials,Solids,Wood and Paper,Reinforced Composite,增强型复合材料
1455,Materials,Solids,Wood and Paper,Containerboard,箱板纸
1456,Materials,Solids,Wood and Paper,Corrugated Fiberboard,波纹纤维板
1457,Materials,Solids,Wood and Paper,Cardstock,卡片纸
1458,Materials,Solids,Wood and Paper,Paper,纸张
1459,Materials,Solids,Wood and Paper,Construction Paper,建筑用纸
1460,Materials,Solids,Wood and Paper,Tracing Paper,描图纸
1461,Materials,Solids,Wood and Paper,it Note,它注意到
1462,Materials,Solids,Wood and Paper,Graph Paper,图形纸
1463,Materials,Solids,Wood and Paper,Kraft Paper,牛皮纸
1464,Materials,Solids,Wood and Paper,Wove Paper,梭织纸
1465,Materials,Solids,Wood and Paper,Ingres Paper,英格尔论文
1466,Materials,Solids,Wood and Paper,Lokta Paper,洛塔纸业
1467,Materials,Solids,Wood and Paper,Washi,和氏璧
1468,Materials,Solids,Wood and Paper,Wasli,华斯利
1469,Materials,Solids,Wood and Paper,Papyrus,纸莎草
1470,Materials,Solids,Wood and Paper,Ancient Egyptian Papyri,古埃及纸币
1471,Materials,Solids,Wood and Paper,Manuscript Paper,稿纸
1472,Materials,Solids,Wood and Paper,Medieval Parchment,中世纪的羊皮纸
1473,Materials,Solids,Wood and Paper,Wrapping Paper,包装纸
1474,Materials,Solids,Wood and Paper,Toilet Paper,厕纸
1475,Materials,Solids,Wood and Paper,Manila Paper,马尼拉纸业
1476,Materials,Solids,Wood and Paper,Manila Folder,马尼拉文件夹
1477,Materials,Solids,Wood and Paper,Envelope,信封
1478,Materials,Solids,Wood and Paper,Security Paper,安全文件
1479,Materials,Solids,Wood and Paper,Rolling Paper,卷筒纸
1480,Materials,Solids,Wood and Paper,Cotton Paper,棉纸
1481,Materials,Solids,Wood and Paper,Hemp Fiber,大麻纤维
1482,Materials,Solids,Wood and Paper,Hemp Paper,大麻纸
1483,Materials,Solids,Wood and Paper,Cellulose,纤维素
1484,Materials,Solids,Wood and Paper,Coated Paper,涂层纸
1485,Materials,Solids,Wood and Paper,Tar Paper,焦油纸
1486,Materials,Solids,Wood and Paper,Greaseproof Paper,防油纸
1487,Materials,Solids,Wood and Paper,Seed Paper,种子纸
1488,Materials,Solids,Soils,Soil,土壤
1489,Materials,Solids,Soils,Dirt,泥土
1490,Materials,Solids,Soils,Clay,粘土
1491,Materials,Solids,Soils,Mud,泥浆
1492,Materials,Solids,Soils,Mud Brick,泥砖
1493,Materials,Solids,Soils,Dust,灰尘
1494,Materials,Solids,Soils,Sand,沙子
1495,Materials,Solids,Soils,Gravel,砾石
1496,Materials,Solids,Soils,Silt,标签
1497,Materials,Solids,Soils,Sandpaper,砂纸
1498,Materials,Solids,Soils,Podzol,波德佐尔
1499,Materials,Solids,Soils,Spodosol,斯波多索尔
1500,Materials,Solids,Soils,Kaolinite,高岭土
1501,Materials,Solids,Stone and Minerals,Stone,石头
1502,Materials,Solids,Stone and Minerals,Rock,摇滚
1503,Materials,Solids,Stone and Minerals,Rocky,洛基
1504,Materials,Solids,Stone and Minerals,Bedrock,基岩
1505,Materials,Solids,Stone and Minerals,Sandstone,砂岩
1506,Materials,Solids,Stone and Minerals,Basalt,玄武岩
1507,Materials,Solids,Stone and Minerals,Flint,弗林特
1508,Materials,Solids,Stone and Minerals,Marble,大理石
1509,Materials,Solids,Stone and Minerals,Borax,硼砂
1510,Materials,Solids,Stone and Minerals,Granite,花岗岩
1511,Materials,Solids,Stone and Minerals,Diorite,迪奥里特
1512,Materials,Solids,Stone and Minerals,Andesite,安山岩
1513,Materials,Solids,Stone and Minerals,Coal,煤炭
1514,Materials,Solids,Stone and Minerals,Sulfur,硫磺
1515,Materials,Solids,Stone and Minerals,Slag,战斗
1516,Materials,Solids,Stone and Minerals,Slate,石板
1517,Materials,Solids,Stone and Minerals,Sodalime,苏达莱姆
1518,Materials,Solids,Stone and Minerals,Quartzite,石英岩
1519,Materials,Solids,Stone and Minerals,Travertine,洞石
1520,Materials,Solids,Stone and Minerals,Minium,平均值
1521,Materials,Solids,Stone and Minerals,Chert,哲特
1522,Materials,Solids,Stone and Minerals,Fulgurite,弗古里特人
1523,Materials,Solids,Stone and Minerals,Geyserite,间歇泉石
1524,Materials,Solids,Stone and Minerals,Carbon Fiber,碳纤维
1525,Materials,Solids,Stone and Minerals,Graphene,石墨烯
1526,Materials,Solids,Stone and Minerals,Carbon Nanotubes,碳纳米管
1527,Materials,Solids,Stone and Minerals,Hempcrete,大麻混凝土
1528,Materials,Solids,Stone and Minerals,Sidewalk,人行道
1529,Materials,Solids,Stone and Minerals,Asphalt,沥青
1530,Materials,Solids,Stone and Minerals,Road,路
1531,Materials,Solids,Stone and Minerals,Stone Tablet,石碑
1532,Materials,Solids,Stone and Minerals,Brick,砖块
1533,Materials,Solids,Stone and Minerals,Ceramic,陶瓷
1534,Materials,Solids,Stone and Minerals,Enamel,搪瓷
1535,Materials,Solids,Stone and Minerals,Sheetrock,石膏板
1536,Materials,Solids,Stone and Minerals,Asbestos,石棉
1537,Materials,Solids,Stone and Minerals,Vermiculite,蛭石
1538,Materials,Solids,Stone and Minerals,Perlite,珍珠岩
1539,Materials,Solids,Stone and Minerals,Fossil,化石
1540,Materials,Solids,Metal,Metallic,金属质地
1541,Materials,Solids,Metal,Metal,金属
1542,Materials,Solids,Metal,Liquid Metal,液体金属
1543,Materials,Solids,Metal,Foil,箔
1544,Materials,Solids,Metal,Rusty,锈迹斑斑
1545,Materials,Solids,Metal,Tarnish,玷污
1546,Materials,Solids,Metal,Pewter,白铜色
1547,Materials,Solids,Metal,Copper,铜
1548,Materials,Solids,Metal,Tin,罐头
1549,Materials,Solids,Metal,Aluminum,铝合金
1550,Materials,Solids,Metal,Brushed Aluminum,拉丝铝
1551,Materials,Solids,Metal,Bronze,铜质
1552,Materials,Solids,Metal,Brass,黄铜
1553,Materials,Solids,Metal,Tarnished Brass,褪色的黄铜
1554,Materials,Solids,Metal,Iron,铁
1555,Materials,Solids,Metal,Wrought Iron,锻铁
1556,Materials,Solids,Metal,Damascus,大马士革
1557,Materials,Solids,Metal,Steel,钢制
1558,Materials,Solids,Metal,Stainless Steel,不锈钢
1559,Materials,Solids,Metal,Damascus Steel,大马士革钢
1560,Materials,Solids,Metal,Titanium,钛合金
1561,Materials,Solids,Metal,Anodized Titanium,阳极化钛合金
1562,Materials,Solids,Metal,Damascus Titanium,大马士革钛合金
1563,Materials,Solids,Metal,Silver,银色
1564,Materials,Solids,Metal,Sterling Silver,纯银
1565,Materials,Solids,Metal,Sterling,斯特林
1566,Materials,Solids,Metal,Tarnished Silver,污损的银色
1567,Materials,Solids,Metal,Tarnished Gold,被玷污的金子
1568,Materials,Solids,Metal,Platinum,铂金
1569,Materials,Solids,Metal,Chromium,铬
1570,Materials,Solids,Metal,Bismuth,铋
1571,Materials,Solids,Metal,Bismuth Crystals,铋晶体
1572,Materials,Solids,Metal,Liquid Bismuth,液体铋
1573,Materials,Solids,Metal,Melted Bismuth,熔化的铋
1574,Materials,Solids,Metal,Mercury Metal,汞金属
1575,Materials,Solids,Metal,Molten Mercury,融化的水银
1576,Materials,Solids,Metal,Molten Mercury Metal,熔融水银金属
1577,Materials,Solids,Metal,Gallium,镓
1578,Materials,Solids,Metal,Melted Gallium,熔化的镓
1579,Materials,Solids,Metal,Indium,铟
1580,Materials,Solids,Metal,Melted Indium,熔化的铟
1581,Materials,Solids,Metal,Magnesium,镁
1582,Materials,Solids,Metal,Zinc,锌
1583,Materials,Solids,Metal,Lead,领导
1584,Materials,Solids,Metal,Tungsten,钨
1585,Materials,Solids,Metal,Cobalt,钴合金
1586,Materials,Solids,Metal,Zirconium,锆
1587,Materials,Solids,Metal,Cubic Zirconium,立体氧化锆
1588,Materials,Solids,Metal,Sodium,钠
1589,Materials,Solids,Metal,Potassium,钾
1590,Materials,Solids,Metal,Uranium,铀
1591,Materials,Solids,Metal,Constantan,康斯坦丁
1592,Materials,Solids,Metal,Hepatizon,鹤立鸡群
1593,Materials,Solids,Metal,Nichrome,镍铬合金
1594,Materials,Solids,Metal,Iron Filings,铁屑
1595,Materials,Solids,Metal,Sulfate,硫酸盐
1596,Materials,Solids,Metal,Metal Foam,金属泡沫
1597,Materials,Solids,Metal,Solder,焊接
1598,Materials,Solids,Metal,Metallic Fiber,金属纤维
1599,Materials,Solids,Metal,Armature Wire,电枢线
1600,Materials,Solids,Metal,Needle,针头
1601,Materials,Solids,Metal,Screw,螺钉
1602,Materials,Solids,Metal,Nail,钉子
1603,Materials,Solids,Metal,Paper Clips,纸夹子
1604,Materials,Solids,Metal,Chain,链条
1605,Materials,Solids,Metal,Link,链接
1606,Materials,Solids,Metal,Barbwire,巴布线
1607,Materials,Solids,Metal,Fence,栅栏
1608,Materials,Solids,Metal,Chicken Wire,鸡肉丝
1609,Materials,Solids,Metal,Link Fence,链接栅栏
1610,Materials,Solids,Glass and Crystal,Glassy,玻璃质
1611,Materials,Solids,Glass and Crystal,Stained Glass,彩绘玻璃
1612,Materials,Solids,Glass and Crystal,Stained Glass Windows,彩绘玻璃窗
1613,Materials,Solids,Glass and Crystal,Seaglass,海玻璃
1614,Materials,Solids,Glass and Crystal,Obsidian,黑曜石
1615,Materials,Solids,Glass and Crystal,Mirror,镜子
1616,Materials,Solids,Glass and Crystal,Mirrored,镜像的
1617,Materials,Solids,Glass and Crystal,Hall of Mirrors,镜厅
1618,Materials,Solids,Glass and Crystal,Glass and Crystals,玻璃和水晶
1619,Materials,Solids,Glass and Crystal,Crystalline,结晶状的
1620,Materials,Solids,Glass and Crystal,Borax Crystals,硼砂晶体
1621,Materials,Solids,Glass and Crystal,Diamond,钻石
1622,Materials,Solids,Glass and Crystal,Herkimer Diamond,赫基姆钻石
1623,Materials,Solids,Glass and Crystal,Amethyst,紫晶石
1624,Materials,Solids,Glass and Crystal,Smoky Quartz,烟熏石英
1625,Materials,Solids,Glass and Crystal,Milky Quartz,乳白色的石英
1626,Materials,Solids,Glass and Crystal,Rose Quartz,玫瑰石英
1627,Materials,Solids,Glass and Crystal,Sceptred Quartz,杖状石英
1628,Materials,Solids,Glass and Crystal,Ruby,红宝石
1629,Materials,Solids,Glass and Crystal,Sapphire,蓝宝石
1630,Materials,Solids,Glass and Crystal,Emerald,绿宝石
1631,Materials,Solids,Glass and Crystal,Pearl,珍珠
1632,Materials,Solids,Glass and Crystal,Citrine,黄水晶
1633,Materials,Solids,Glass and Crystal,Fluorite,萤石
1634,Materials,Solids,Glass and Crystal,Lapis Lazuli,天青石
1635,Materials,Solids,Glass and Crystal,Onyx,缟玛瑙
1636,Materials,Solids,Glass and Crystal,Selenite,亚硒酸盐
1637,Materials,Solids,Glass and Crystal,Jasper,贾斯珀
1638,Materials,Solids,Glass and Crystal,Topaz,黄玉
1639,Materials,Solids,Glass and Crystal,Agate,玛瑙
1640,Materials,Solids,Glass and Crystal,Carnelian,红玉髓
1641,Materials,Solids,Glass and Crystal,Ametrine,Ametrine
1642,Materials,Solids,Glass and Crystal,Aventurine,金星石
1643,Materials,Solids,Glass and Crystal,Tridymite,砗磲
1644,Materials,Solids,Glass and Crystal,Moganite,莫干石
1645,Materials,Solids,Glass and Crystal,Stibnite,斯蒂布尼特
1646,Materials,Solids,Glass and Crystal,Cristobalite,腕子石（Cristobalite）
1647,Materials,Solids,Glass and Crystal,Marcasite,马卡西石
1648,Materials,Solids,Glass and Crystal,Calomel,卡洛梅尔
1649,Materials,Solids,Glass and Crystal,Realgar,雷尔加
1650,Materials,Solids,Glass and Crystal,Cuprite,铜矿石
1651,Materials,Solids,Glass and Crystal,Aqeeq,Aqeeq
1652,Materials,Solids,Glass and Crystal,Lechatelierite,Lechatelierite
1653,Materials,Solids,Glass and Crystal,Sphalerite,闪锌矿
1654,Materials,Solids,Glass and Crystal,Orpiment,奥皮姆
1655,Materials,Solids,Glass and Crystal,Prasiolite,普拉索尔石
1656,Materials,Solids,Glass and Crystal,Chrysoprase,金刚石
1657,Materials,Solids,Glass and Crystal,Chalcedony,玉髓
1658,Materials,Solids,Glass and Crystal,Jewelry,珠宝首饰
1659,Materials,Solids,Glass and Crystal,Colloidal Crystal,胶体晶体
1660,Materials,Solids,Cloth,Cloth,布质
1661,Materials,Solids,Cloth,Cotton,棉花
1662,Materials,Solids,Cloth,Polyester,聚酯纤维
1663,Materials,Solids,Cloth,Twine,麻绳
1664,Materials,Solids,Cloth,Cashmere,羊毛衫
1665,Materials,Solids,Cloth,Silk,丝绸
1666,Materials,Solids,Cloth,Satin,缎面
1667,Materials,Solids,Cloth,Denim,牛仔布
1668,Materials,Solids,Cloth,Khaki,卡其色
1669,Materials,Solids,Cloth,Leather,皮革制品
1670,Materials,Solids,Cloth,Felt,毛毡
1671,Materials,Solids,Cloth,Felt Cloth,毡布
1672,Materials,Solids,Cloth,Linen,亚麻布
1673,Materials,Solids,Cloth,Velvet,天鹅绒
1674,Materials,Solids,Cloth,Corduroy,灯芯绒
1675,Materials,Solids,Cloth,Microfiber,超细纤维
1676,Materials,Solids,Cloth,Fibers,纤维
1677,Materials,Solids,Cloth,Memory Foam,记忆海绵
1678,Materials,Solids,Cloth,Nylon,尼龙
1679,Materials,Solids,Cloth,Polyamide,聚酰胺
1680,Materials,Solids,Cloth,Spandex,氨纶
1681,Materials,Solids,Cloth,Kevlar,凯芙拉
1682,Materials,Solids,Cloth,Rayon,人造纤维
1683,Materials,Solids,Cloth,Lyocell,Lyocell
1684,Materials,Solids,Cloth,Cordura,Cordura
1685,Materials,Solids,Cloth,Lurex,卢雷克斯
1686,Materials,Solids,Cloth,Nomex,诺米克斯
1687,Materials,Solids,Cloth,Quilt,被子
1688,Materials,Solids,Cloth,Blanket,毯子
1689,Materials,Solids,Cloth,Pillow,枕头
1690,Materials,Solids,Cloth,Lint,皮特
1691,Materials,Solids,Cloth,Cushion,垫子
1692,Materials,Solids,Cloth,Pin Cushion,针垫
1693,Materials,Solids,Cloth,Yarn,纱线
1694,Materials,Solids,Cloth,Knitted,针织的
1695,Materials,Solids,Cloth,Crochet,钩子
1696,Materials,Solids,Cloth,Cross Stich,交叉缝制
1697,Materials,Solids,Cloth,Needle Point,针刺点
1698,Materials,Solids,Cloth,Embroidery,绣花
1699,Materials,Solids,Cloth,Applique,壁灯
1700,Materials,Solids,Cloth,Lace,花边
1701,Materials,Solids,Cloth,Macrame,马卡龙
1702,Materials,Solids,Cloth,Sewing,缝制
1703,Materials,Solids,Cloth,Sewen,缝纫机
1704,Materials,Solids,Cloth,Weave,纺织
